kk time, kk res, rr std time, rr std res, rr pp time, rr pp res, hc std time, hc std res, hc pp time, hc pp res, anneal std time, anneal std res, anneal pp time, anneal pp res, avg vector val
28,241533,60036,115361287,156321,72389585,159193,2613488004445,1.1375e+06,63,985837,153,635638,195,4.99654e+11
10,21700,55694,30980688,155351,175475410,156303,1956358002020,1.08704e+06,534,1.03214e+06,186,632290,164,4.38522e+11
11,192226,55749,367974,153758,524421842,153294,62277070822,1.09672e+06,36,986642,614,630152,134,5.3225e+11
10,214008,55896,165055462,153045,230523100,153233,8656506845624,1.09351e+06,82,865484,1572,634757,74,4.73982e+11
10,545217,55818,265396259,154136,77849367,153336,7861937868121,1.07768e+06,289,925095,295,625623,297,5.65347e+11
10,678737,55697,2663993,153694,477722437,154050,3670049781519,1.07302e+06,315,903508,1295,627333,323,4.83046e+11
10,99117,55588,817229757,153508,157267043,153295,3253437804457,1.10954e+06,69,892001,123,619852,15,4.78029e+11
10,40960,55524,18854252,153999,74468216,153356,1367947246524,1.07563e+06,90,901883,1206,644643,248,5.32368e+11
10,25797,55856,56914463,153572,231773525,153288,710817210801,1.10368e+06,1,892005,2065,642490,253,4.93865e+11
10,840875,55641,1085653559,153448,485620393,153361,5156108360747,1.07661e+06,317,914813,1193,630241,791,5.13275e+11
10,1026048,55628,968730878,153921,56940674,153302,3584150300554,1.05915e+06,444,888173,1922,623496,728,5.40838e+11
10,87493,55787,284323005,153968,482654949,154010,9274981963235,1.10092e+06,191,891434,5491,630953,83,4.86895e+11
10,265047,55619,574551491,153703,139473227,153675,2922725686561,1.09752e+06,7,897833,159,627395,7,5.05856e+11
10,626826,55578,130103040,153216,8781654,153692,2931315283794,1.06242e+06,176,959242,566,630319,168,4.98362e+11
10,22489,55657,42072979,153675,52628145,153430,4078071497415,1.08484e+06,15,1.14951e+06,97,675801,73,4.91733e+11
10,319874,55733,79361776,153855,455323824,169016,173946304142,1.29714e+06,132,974458,1998,622899,350,5.65801e+11
10,109048,55665,213127658,153731,137369298,156534,2600603240052,1.14538e+06,584,950343,122,671231,42,5.2892e+11
10,315189,55644,69058197,153035,90170665,153217,5534065748227,1.0837e+06,39,1.00298e+06,935,851194,113,5.01486e+11
10,62287,161987,192139603,218307,125053067,258488,3133178688811,1.28503e+06,243,1.17275e+06,1045,619009,41,4.80748e+11
10,19202,55822,178962752,154496,978735446,154494,4327179671068,1.14233e+06,712,920624,544,881163,424,5.25404e+11
10,31447,56985,32084883,157303,98275723,153442,3777424036981,1.07195e+06,17,955461,347,637933,9,5.16699e+11
10,177256,55693,31366646,154027,627881952,153513,8145405509430,1.09523e+06,46,922266,282,630417,44,4.90885e+11
13,188187,56683,750651521,171710,162375551,161569,4550518275309,1.22948e+06,245,1.0208e+06,119,677823,381,5.35012e+11
10,348938,56375,23357022,154875,59748308,164338,5435281123712,1.35301e+06,132,1.07253e+06,430,660633,70,4.98384e+11
10,86700,57442,978229752,155783,163799424,153874,6886980092746,1.1282e+06,276,942808,62,651419,234,4.86951e+11
10,1411,59047,237649421,166878,6844455,167340,1385127271365,1.18002e+06,161,1.06141e+06,99,965260,217,4.95551e+11
10,17869,60837,138813355,161965,807205571,153800,1793149356113,1.12016e+06,89,972022,3141,718974,111,5.0617e+11
10,233628,55978,567979440,154470,23830974,153334,328565015166,1.18822e+06,4,1.0778e+06,292,658202,1132,5.46291e+11
10,55072,55534,334300064,155750,177905450,157617,2347199669508,1.13654e+06,98,966549,6138,669606,208,5.04127e+11
10,181210,97899,353995412,163956,184222372,153925,2656437616196,1.4239e+06,60,984752,372,632939,654,5.30391e+11
10,1081,55803,238249707,153588,183401913,153646,869731152113,1.07232e+06,267,983715,597,723305,371,5.03104e+11
10,173837,56264,735229425,160656,39367247,168432,1359357342481,1.16218e+06,33,1.11624e+06,1535,688612,35,4.75875e+11
10,132771,58812,835943915,275437,1018401323,222901,667867480433,1.46599e+06,641,1.00108e+06,503,675866,55,5.10495e+11
10,267550,61643,359606632,238590,418082850,196692,1591285648534,1.09273e+06,96,1.02294e+06,412,652213,220,4.43214e+11
10,71736,55617,12122232,157937,127139002,186723,1883343214014,1.30843e+06,172,960241,376,929798,18,4.75123e+11
20,42368,59289,264461652,173851,432937616,173710,5641439581088,1.22563e+06,24,969486,356,668407,40,4.86563e+11
10,81065,61618,526844503,166540,1286807563,156176,7209102706141,1.13141e+06,455,1.0211e+06,159,675316,623,5.04823e+11
10,279543,62251,33057487,157009,585424501,156420,1960652686821,1.11755e+06,263,1.04117e+06,203,732534,199,5.46785e+11
11,63752,55795,179293804,166307,557333204,165862,1621350840618,1.2414e+06,184,1.0672e+06,1002,693368,40,4.85555e+11
10,29981,57605,59933777,154236,151230007,154984,972810446159,1.08897e+06,103,972332,175,622029,655,5.10605e+11
10,158645,55881,83180967,153750,398367543,155288,8982924104969,1.12252e+06,85,862934,385,625623,193,5.06954e+11
10,69113,55783,736868647,153804,1065074641,154270,6143950817713,1.09202e+06,77,934580,541,636624,87,4.42594e+11
10,55342,55517,510577114,153453,236569264,153506,4554813088534,1.11913e+06,104,1.00201e+06,76,683815,4,4.9938e+11
11,49387,64150,99700049,160242,20655065,154369,11023033628319,1.15112e+06,235,1.09016e+06,213,723569,43,5.49312e+11
11,473618,64393,434396616,168036,61652986,162662,6801080894124,1.12888e+06,46,988986,4364,736816,116,4.75668e+11
10,247870,71697,414045456,206651,443538688,184398,2037962142984,1.23038e+06,84,1.1008e+06,1428,689397,148,4.71975e+11
25,162638,62028,328830456,188581,221606520,191900,1685774673434,1.30146e+06,10,1.05789e+06,736,660792,176,5.41962e+11
10,108031,56805,53131413,154362,51199647,157017,8076686035419,1.18739e+06,575,954442,2339,639456,1023,5.19592e+11
10,9395,56074,130963525,156004,969802233,155075,3395171836637,1.08496e+06,15,980349,905,624800,35,5.21698e+11
10,104715,55764,23677881,152990,24362615,153420,869731020757,1.11398e+06,53,1.01078e+06,367,623885,139,5.04602e+11
10,1777,56733,54307265,153589,74312803,154978,977105684475,1.0862e+06,17,917239,517,625964,71,5.03863e+11
11,454975,55491,27329411,153443,314179235,153839,6886980350681,1.11412e+06,481,1.0144e+06,341,653057,17,5.21844e+11
10,161145,56010,663101961,155130,638307141,156767,1883343307585,1.13655e+06,467,943456,35,682863,165,4.9985e+11
10,24074,57286,165971922,162167,50535372,159737,3786013955630,1.11586e+06,140,905243,140,654262,52,5.00707e+11
10,439242,55930,395524534,153777,811113432,153199,1453846449450,1.07292e+06,46,951732,230,656457,110,5.59341e+11
10,98887,55492,816370433,154170,45176861,154069,5491115909197,1.10889e+06,159,976539,67,659464,137,5.01641e+11
11,92175,55736,257603757,152973,1207715351,153125,2514703488165,1.14473e+06,361,990928,181,665759,367,5.15419e+11
10,255420,55497,402885076,153943,246175164,157684,2068027001790,1.11423e+06,214,970279,1108,648662,70,5.27288e+11
10,146955,55769,475157633,153844,448873831,157287,7088843663271,1.11235e+06,21,972986,219,642866,223,5.34873e+11
10,186584,56378,294163794,155553,229038886,156039,7148973154976,1.09064e+06,10,889211,5476,663923,182,4.93085e+11
10,332804,55595,496267228,154875,8406844,158787,7011534199636,1.12764e+06,454,1.03707e+06,466,674126,76,5.01855e+11
10,158655,56001,405532005,153814,93088979,154234,6015101940309,1.08011e+06,45,924895,93,641176,41,5.38798e+11
10,35316,56058,37452058,157461,80617062,185740,9936406957296,1.21475e+06,188,1.02548e+06,888,649288,132,5.1572e+11
10,86743,55546,268723861,155856,112984943,155581,2123861554863,1.14832e+06,649,938256,295,642168,323,4.75234e+11
10,16433,55689,309291869,155602,570983565,153743,3803193588517,1.10898e+06,201,966740,583,682761,213,5.20553e+11
10,17415,55655,128934617,160989,216022323,160137,7818988154265,1.16054e+06,93,968287,1491,664375,209,5.09631e+11
11,203178,58911,67619582,159767,112095908,175544,6461778313834,1.11578e+06,24,903269,146,642205,148,4.4464e+11
10,105741,56186,186925195,165954,152336063,162855,2476048976411,1.11627e+06,39,1.01198e+06,455,639959,587,4.83586e+11
11,41713,58334,28994725,158867,87831195,158726,6805375743885,1.13834e+06,123,995138,125,666503,127,5.00655e+11
11,1757481,55848,124161377,161221,54392431,163048,6891275098121,1.17829e+06,581,978310,1337,640183,351,5.1754e+11
10,94872,56327,534561006,153317,2393850,156621,6036576754026,1.12732e+06,60,915430,1818,643292,6,4.48379e+11
10,55393,55838,646834635,153327,106837705,153628,6427418658105,1.14936e+06,195,938797,467,645000,507,4.78764e+11
10,240699,55625,290313347,156864,1570499989,154093,4657892532039,1.10384e+06,35,996047,113,638468,399,5.29789e+11
10,4148361,56321,608776723,155332,48026345,155068,10340133928491,1.19907e+06,59,894792,2707,717601,85,4.98925e+11
10,298206,55828,969288,157520,27949918,154314,4546222886396,1.17839e+06,152,1.05856e+06,0,655446,166,4.72861e+11
11,23684,55875,325972490,158454,37164164,156996,1178968675392,1.13515e+06,392,986312,52,653241,112,5.00052e+11
10,127130,59417,484479428,157969,37444894,159131,1509681082288,1.16882e+06,100,850572,4900,660846,98,5.03697e+11
10,160418,56492,47687012,158791,165442532,168298,4477503566784,1.17374e+06,188,974572,172,658159,52,5.1492e+11
10,576781,56190,12901439,156736,70346089,156908,4194035880107,1.12889e+06,493,962931,763,637431,1,4.86018e+11
10,47340,58564,206779742,160127,399480172,159710,5074504258078,1.16125e+06,202,929212,1438,641301,280,5.0754e+11
10,287137,56368,240336401,153895,258286265,156287,3605625067643,1.10534e+06,1,913761,1519,653458,373,4.8368e+11
10,847408,55622,86895256,153774,342391504,154848,6659346859434,1.12266e+06,46,1.02036e+06,1040,681357,200,4.79842e+11
10,113926,63247,819996106,161433,554287470,155290,10305774054706,1.12927e+06,364,924977,3410,646639,132,5.27903e+11
10,42910,58087,314074118,158610,41034930,157975,1913408195762,1.14566e+06,86,998209,16,628909,144,5.22935e+11
11,192319,55717,504243415,154843,887911203,153650,6251324996595,1.11019e+06,315,936390,5,662688,1367,4.96367e+11
10,1132707,57292,550712135,164175,93863991,160205,1221918245043,1.17716e+06,25,1.00965e+06,157,652372,13,5.54211e+11
10,123543,56090,504739059,157748,132706409,153923,6191195552599,1.07812e+06,131,955116,285,667274,43,4.66179e+11
10,113698,58300,244748600,160369,131112354,153679,204010996750,1.10263e+06,460,922708,2326,673255,86,5.04298e+11
10,11003,58943,84677805,157280,1286840127,153727,6491843764487,1.07626e+06,41,1.00814e+06,229,639593,367,5.10187e+11
10,49824,55737,292470158,157888,356451896,158562,3347927146918,1.10662e+06,98,1.05286e+06,606,645539,240,5.7489e+11
11,339704,55753,860842418,154412,352474924,154651,113816680940,1.10384e+06,122,955309,1048,674366,26,4.95195e+11
10,50911,56070,340099259,158090,127894461,162045,10267119540813,1.12202e+06,81,911509,165,651263,841,4.97659e+11
11,30064,56771,68046068,158077,171494500,153641,3377991931444,1.12409e+06,8,1.01085e+06,378,661442,304,4.51694e+11
10,1685459,57622,329491611,156443,127107037,161806,1445256506343,1.12625e+06,263,943929,617,640648,101,5.08554e+11
10,634009,58515,286037763,157277,247662927,154401,2407329222271,1.11536e+06,27,951125,1469,643645,249,5.65022e+11
10,247892,55947,124339574,157310,429371096,159811,5585605015646,1.10202e+06,6,1.00337e+06,38,647878,178,5.6718e+11
10,487952,55758,329130670,156669,176715310,157114,7217692736738,1.13326e+06,306,959440,30,640012,528,5.11538e+11
10,163263,58232,36296561,156676,100257825,161030,7874822633427,1.10638e+06,47,951039,1223,651954,7,4.80782e+11
10,59343,55683,591012809,153868,42109979,160320,13660143603443,1.13936e+06,185,1.02602e+06,701,647199,527,5.09777e+11
10,92166,58814,398049258,155775,150299714,158249,4743791500130,1.1293e+06,318,939128,50,654151,26,5.44681e+11
